id;crock;title;description;purchase_link;generated_link;status
1;foreground;Buckinghamshire benchmark;COM;Toys connecting;Common West Virginia streamline;FINISHED
2;Pennsylvania deposit Lilangeni;Bike sky blue;Mobility;Cambridgeshire;protocol;NEW
3;killer;Inlet Pennsylvania;Developer Ville compressing;Rustic Pizza haptic;multi-byte Division;PENDING
4;Solutions;silver;Junction Incredible Soft Keyboard B2B;cultivate Refined Wells;digital matrix Directives;FINISHED
5;interface Incredible Frozen Chair withdrawal;next-generation overriding;payment Regional Direct;Rue contextually-based;deposit;PENDING
6;Forges 6th generation;e-commerce;invoice incremental CFP Franc;multi-byte value-added Concrete;convergence payment;NEW
7;alarm;Cambridgeshire;orange;green;THX;FINISHED
8;hack Awesome Rubber Soap;networks Tunnel Maine;hack B2C;copying Danish Krone;Vermont Liaison;FINISHED
9;Direct Specialist;Shore;Manager Manager SQL;Generic;parsing;PENDING
10;Union Utah;Checking Account Mexican Peso Mexican Unidad de Inversion (UDI);Yuan Renminbi lavender e-services;structure Solutions;Drive De-engineered;CANCELLED
